,Year,Western champion,Coach,Result,Eastern champion,Coach,Finals MVP[a],Ref
44,1991,"Los Angeles Lakers (3) (24, 11–13)",Mike Dunleavy,1–4,"Chicago Bulls (1) (1, 1–0)",Phil Jackson,Michael Jordan,[56]
45,1992,"Portland Trail Blazers (1) (3, 1–2)",Rick Adelman,2–4,"Chicago Bulls (1) (2, 2–0)",[57],,
46,1993,"Phoenix Suns (1) (2, 0–2)",Paul Westphal,2–4,"Chicago Bulls (2) (3, 3–0)",[58],,
47,1994,"Houston Rockets (2) (3, 1–2)",Rudy Tomjanovich,4–3,"New York Knicks (2) (7, 2–5)",Pat Riley,Hakeem Olajuwon,[59]
48,1995,"Houston Rockets (6) (4, 2–2)",4–0,"Orlando Magic (1) (1, 0–1)",Brian Hill,[60],,
49,1996,"Seattle SuperSonics (1) (3, 1–2)",George Karl,2–4,"Chicago Bulls (1) (4, 4–0)",Phil Jackson,Michael Jordan,[61]
50,1997,"Utah Jazz (1) (1, 0–1)",Jerry Sloan,2–4,"Chicago Bulls (1) (5, 5–0)",[62],,
51,1998,"Utah Jazz (1) (2, 0–2)",2–4,"Chicago Bulls (1) (6, 6–0)",[63],,,
52,1999[f],"San Antonio Spurs (1) (1, 1–0)",Gregg Popovich,4–1,"New York Knicks (8) (8, 2–6)",Jeff Van Gundy,Tim Duncan,[65]
53,2000,"Los Angeles Lakers (1) (25, 12–13)",Phil Jackson,4–2,"Indiana Pacers (1) (1, 0–1)",Larry Bird,Shaquille O'Neal,[66]
54,2001,"Los Angeles Lakers (2) (26, 13–13)",4–1,"Philadelphia 76ers (1) (9, 3–6)",Larry Brown,[67],,
55,2002,"Los Angeles Lakers (3) (27, 14–13)",4–0,"New Jersey Nets (1) (1, 0–1)",Byron Scott,[68],,
56,2003,"San Antonio Spurs (1) (2, 2–0)",Gregg Popovich,4–2,"New Jersey Nets (2) (2, 0–2)",Tim Duncan,[69],
57,2004,"Los Angeles Lakers (2) (28, 14–14)",Phil Jackson,1–4,"Detroit Pistons (3) (6, 3–3)",Larry Brown,Chauncey Billups,[70]
58,2005,"San Antonio Spurs (2) (3, 3–0)",Gregg Popovich,4–3,"Detroit Pistons (2) (7, 3–4)",Tim Duncan,[71],
59,2006,"Dallas Mavericks (4) (1, 0–1)",Avery Johnson,2–4,"Miami Heat (2) (1, 1–0)",Pat Riley,Dwyane Wade,[72]
60,2007,"San Antonio Spurs (3) (4, 4–0)",Gregg Popovich,4–0,"Cleveland Cavaliers (2) (1, 0–1)",Mike Brown,Tony Parker,[73]
61,2008,"Los Angeles Lakers (1) (29, 14–15)",Phil Jackson,2–4,"Boston Celtics (1) (20, 17–3)",Doc Rivers,Paul Pierce,[74]
62,2009,"Los Angeles Lakers (1) (30, 15–15)",4–1,"Orlando Magic (3) (2, 0–2)",Stan Van Gundy,Kobe Bryant,[75],
63,2010,"Los Angeles Lakers (1) (31, 16–15)",4–3,"Boston Celtics (4) (21, 17–4)",Doc Rivers,[76],,
64,2011,"Dallas Mavericks (3) (2, 1–1)",Rick Carlisle,4–2,"Miami Heat (2) (2, 1–1)",Erik Spoelstra,Dirk Nowitzki,[77]
65,2012[g],"Oklahoma City Thunder (2) (4, 1–3)",Scott Brooks,1–4,"Miami Heat (2) (3, 2–1)",LeBron James,[80],
66,2013,"San Antonio Spurs (2) (5, 4–1)",Gregg Popovich,3–4,"Miami Heat (1) (4, 3–1)",[81],,
67,2014,"San Antonio Spurs (1) (6, 5–1)",4–1,"Miami Heat (2) (5, 3–2)",Kawhi Leonard,[82],,
68,2015,"Golden State Warriors (1) (7, 4–3)",Steve Kerr,4–2,"Cleveland Cavaliers (2) (2, 0–2)",David Blatt,Andre Iguodala,[83]
69,2016,"Golden State Warriors (1) (8, 4–4)",3–4,"Cleveland Cavaliers (1) (3, 1–2)",Tyronn Lue,LeBron James,[84],
70,2017,"Golden State Warriors (1) (9, 5–4)",4–1,"Cleveland Cavaliers (2) (4, 1–3)",Kevin Durant,[85],,
71,2018,"Golden State Warriors (2) (10, 6–4)",4–0,"Cleveland Cavaliers (4) (5, 1–4)",[86],,,
72,2019,"Golden State Warriors (1) (11, 6–5)",2–4,"Toronto Raptors (2) (1, 1–0)",Nick Nurse,Kawhi Leonard,[87],
73,2020[h],"Los Angeles Lakers (1) (32, 17–15)",Frank Vogel,4–2,"Miami Heat (5) (6, 3–3)",Erik Spoelstra,LeBron James,[89]
74,2021,"Phoenix Suns (2) (3, 0–3)",Monty Williams,2–4,"Milwaukee Bucks (3) (3, 2–1)",Mike Budenholzer,Giannis Antetokounmpo,[90]
75,2022,"Golden State Warriors (3) (12, 7–5)",Steve Kerr,4–2,"Boston Celtics (2) (22, 17–5)",Ime Udoka,Stephen Curry,[91]
76,2023,"Denver Nuggets (1) (1, 1–0)",Michael Malone,4–1,"Miami Heat (8) (7, 3–4)",Erik Spoelstra,Nikola Jokić,[92]
77,2024,"Dallas Mavericks (5) (3, 1–2)",Jason Kidd,1–4,"Boston Celtics (1) (23, 18–5)",Joe Mazzulla,Jaylen Brown,[93]
78,2025,"Oklahoma City Thunder (1) (5, 2–3)",Mark Daigneault,4–3,"Indiana Pacers (4) (2, 0–2)",Rick Carlisle,Shai Gilgeous-Alexander,[94]
